Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose
2020-12-14,Allegheny,15,3,NA,NA
2020-12-14,Beaver,1,NA,NA,NA
2020-12-14,Berks,1,NA,NA,NA
2020-12-14,Bucks,5,NA,NA,NA
2020-12-14,Chester,2,NA,NA,NA
2022-06-12,Northumberland,NA,NA,1,3
2020-12-14,Delaware,1,NA,NA,NA
2020-12-14,Erie,2,NA,NA,NA
2020-12-14,Franklin,1,NA,NA,NA
2021-07-03,Juniata,21,73,NA,NA
2020-12-14,Lancaster,4,NA,NA,NA
2020-12-14,Lehigh,4,NA,NA,NA
2020-12-14,Lycoming,1,NA,NA,NA
2020-12-14,Mifflin,1,NA,NA,NA
2020-12-14,Montgomery,4,NA,NA,NA
2020-12-14,Montour,2,NA,NA,NA
2021-02-09,Delaware,2284,1434,NA,NA
2020-12-14,Pike,2,NA,NA,NA
2020-12-14,Schuylkill,1,NA,NA,NA
2020-12-14,Union,1,NA,NA,NA
2020-12-14,Washington,1,NA,NA,NA
2020-12-14,Westmoreland,3,NA,NA,NA
2020-12-15,Adams,1,NA,NA,NA
2020-12-15,Allegheny,10,4,NA,NA
2020-12-15,Berks,1,NA,NA,NA
2020-12-15,Bucks,11,NA,NA,NA
2020-12-15,Butler,1,NA,NA,NA
2020-12-15,Cambria,1,1,NA,NA
2020-12-15,Carbon,NA,1,NA,NA
2020-12-15,Centre,6,NA,NA,NA
2020-12-15,Chester,10,NA,NA,NA
2020-12-15,Crawford,10,NA,NA,NA
2020-12-15,Cumberland,2,NA,NA,NA
2020-12-15,Dauphin,2,NA,NA,NA
2022-11-01,Elk,NA,NA,NA,NA
2020-12-15,Erie,2,NA,NA,NA
2020-12-15,Fayette,1,NA,NA,NA
2020-12-15,Franklin,2,NA,NA,NA
2020-12-15,Greene,1,NA,NA,NA
2022-11-17,Delaware,50,42,NA,NA
2020-12-15,Lawrence,1,NA,NA,NA
2020-12-15,Lebanon,1,NA,NA,NA
2020-12-15,Lehigh,7,NA,NA,NA
2020-12-15,Luzerne,4,NA,NA,NA
2020-12-15,Mifflin,1,NA,NA,NA
2020-12-15,Monroe,2,NA,NA,NA
2020-12-15,Montgomery,11,NA,NA,NA
2020-12-15,Montour,1,NA,NA,NA
2020-12-15,Northampton,3,NA,NA,NA
2020-12-15,Northumberland,1,NA,NA,NA
2022-10-03,Somerset,1,1,NA,NA
2020-12-15,Schuylkill,2,NA,NA,NA
2020-12-15,Union,2,NA,NA,NA
2020-12-15,Venango,1,NA,NA,NA
2020-12-15,Washington,3,NA,NA,NA
2020-12-15,Wayne,1,NA,NA,NA
2020-12-15,Westmoreland,3,NA,NA,NA
2020-12-15,York,2,NA,NA,NA
2020-12-16,Adams,1,NA,NA,NA
2020-12-16,Allegheny,65,7,NA,NA
2020-12-16,Beaver,3,NA,NA,NA
2020-12-16,Bedford,1,NA,NA,NA
2020-12-16,Berks,4,NA,NA,NA
2020-12-16,Blair,1,NA,NA,NA
2022-06-14,Northampton,27,12,45,106
2020-12-16,Butler,5,NA,NA,NA
2020-12-16,Cambria,1,NA,NA,NA
2021-03-28,Cumberland,346,206,NA,NA
2020-12-16,Clearfield,1,NA,NA,NA
2020-12-16,Clinton,1,NA,NA,NA
